Date,Open,High,Low,Close,Adj Close,Volume
12-11-2014,1290,1305.5,1287.5,1295.875,1071.099243,1320582
13-11-2014,1297.5,1302.449951,1282.574951,1294.224976,1069.735352,1645540
14-11-2014,1292.599976,1305.574951,1287.5,1303.224976,1077.174683,1457174
17-11-2014,1297.550049,1312.5,1296.125,1309.150024,1082.072266,1570552
18-11-2014,1310,1313.324951,1289.875,1292.925049,1068.661377,1467026
19-11-2014,1299,1299,1278.724976,1286.875,1063.660645,1865746
20-11-2014,1294,1305.125,1280.275024,1302.724976,1076.761597,1795386
21-11-2014,1304,1320,1293.324951,1311.074951,1083.662964,2001594
24-11-2014,1311,1332.5,1311,1328.849976,1098.355225,1942766
25-11-2014,1330,1339.699951,1308,1318,1089.386841,2371684
26-11-2014,1315.025024,1328.175049,1307.5,1313.650024,1085.791138,1584800
27-11-2014,1313.650024,1334,1312.650024,1326.650024,1096.536255,1732418
28-11-2014,1329.175049,1345.949951,1317.675049,1321.5,1092.279541,1989768
01-12-2014,1325.25,1350,1322.625,1346.474976,1112.922607,1896354
02-12-2014,1346.5,1355.474976,1324.675049,1328.650024,1098.189697,1436572
03-12-2014,1335.949951,1336.699951,1309.25,1317.675049,1089.118164,3094670
04-12-2014,1332,1333.5,1314.949951,1318.974976,1090.192871,1285308
05-12-2014,1320.449951,1324.900024,1286.074951,1289.474976,1065.809448,2359676
08-12-2014,1297.5,1297.5,1250.824951,1256.400024,1038.471558,3232574
09-12-2014,1258,1279.5,1254.550049,1257.425049,1039.318726,2487940
10-12-2014,1257.5,1265.949951,1248.099976,1253.949951,1036.446411,2087970
11-12-2014,1250.300049,1261.449951,1243.5,1246.074951,1029.937256,1938822
12-12-2014,1250,1260,1211.324951,1225.349976,1012.807556,2380786
15-12-2014,1192.449951,1192.5,1176.125,1179.324951,974.765686,3487788
16-12-2014,1175,1229.625,1172.5,1221.525024,1009.645447,3339140
17-12-2014,1226.699951,1235,1202.625,1222.050049,1010.079773,2287076
18-12-2014,1227.550049,1234.25,1217.400024,1230.349976,1016.940063,1481444
19-12-2014,1235.650024,1261.875,1234,1255.275024,1037.541626,1903130
22-12-2014,1263,1264.5,1237.199951,1256.699951,1038.719116,1643954
23-12-2014,1250,1268.324951,1247.300049,1258.349976,1040.083374,1266476
24-12-2014,1257.5,1260.425049,1232.824951,1239.949951,1024.875,3288972
26-12-2014,1243,1255,1232.5,1252.5,1035.248169,626206
29-12-2014,1254,1268.474976,1253.5,1261.449951,1042.645874,778920
30-12-2014,1262.5,1271.224976,1258,1265.025024,1045.600098,701342
31-12-2014,1266.349976,1283.199951,1262.5,1279.125,1057.254883,1573792
01-01-2015,1283.5,1283.5,1270.5,1272.775024,1052.00647,366830
02-01-2015,1275.5,1295.474976,1275.300049,1289.724976,1066.016479,925740
05-01-2015,1290.5,1299.949951,1262.324951,1270.125,1049.816284,1754242
06-01-2015,1264.550049,1264.550049,1220,1223.300049,1011.113159,2423784
07-01-2015,1235,1239.574951,1203.724976,1208.849976,999.169434,2636332
08-01-2015,1221.199951,1224.5,1210.275024,1221.900024,1009.955933,1565408
09-01-2015,1227.5,1259.949951,1225,1256.150024,1038.265259,3197642
12-01-2015,1258.5,1264,1240.125,1254.849976,1037.19043,1596006
13-01-2015,1260,1265.199951,1240.050049,1248.949951,1032.313965,1468432
14-01-2015,1258,1265.900024,1250.25,1260.974976,1042.253174,1787096
15-01-2015,1266.5,1290.875,1261.625,1269.550049,1049.340942,5009920
16-01-2015,1271.849976,1272.5,1242.150024,1266.074951,1046.46814,5293830
19-01-2015,1268,1275.5,1251.5,1255.5,1037.727661,1135074
20-01-2015,1260,1265,1241.625,1250.224976,1033.367554,2058566
21-01-2015,1261,1261,1244.125,1256.900024,1038.884766,2310480
22-01-2015,1258.25,1260.625,1247.75,1256.775024,1038.781616,2113214
23-01-2015,1257,1266.025024,1248.050049,1251.800049,1034.669556,3150380
27-01-2015,1256.175049,1257.5,1244.775024,1251.025024,1036.098022,2738736
28-01-2015,1251.5,1272.449951,1251.449951,1269.800049,1051.647461,3121980
29-01-2015,1269,1284.349976,1256.449951,1272.324951,1053.738892,3734392
30-01-2015,1280.349976,1287.5,1235,1241.025024,1027.816284,5817402
02-02-2015,1241,1260.724976,1231.025024,1257.099976,1041.129272,3181802
03-02-2015,1255.824951,1282.5,1253.550049,1279.125,1059.370483,2345054
04-02-2015,1284,1285.849976,1251.050049,1257.150024,1041.170776,2245418
05-02-2015,1260,1295.849976,1259.5,1276.199951,1056.947998,4530168
06-02-2015,1276.5,1297.400024,1275.425049,1287.875,1066.617554,2136416
09-02-2015,1280.75,1284.550049,1250,1256.449951,1040.591309,2076432
10-02-2015,1255,1263.125,1216.5,1220.574951,1010.879639,3799054
11-02-2015,1227.525024,1243.625,1223.625,1229.949951,1018.64386,2937522
12-02-2015,1239.900024,1239.900024,1223.5,1231.074951,1019.575684,3107980
13-02-2015,1235,1273.875,1230.125,1269.375,1051.295654,4158326
16-02-2015,1280,1297.5,1277.5,1292.400024,1070.364746,2364392
18-02-2015,1292.525024,1321.5,1282.625,1317.824951,1091.421997,2660014
19-02-2015,1318,1343.650024,1317.5,1340.525024,1110.222046,2618002
20-02-2015,1349.400024,1349.400024,1321.125,1337.775024,1107.944214,1801588
23-02-2015,1335.5,1361,1335.5,1348.324951,1116.681885,1614892
24-02-2015,1347,1365,1339.5,1352.375,1120.036133,2199922
25-02-2015,1355,1361,1333.925049,1336.099976,1106.557251,1767994
26-02-2015,1339.5,1346.375,1312.675049,1328.224976,1100.035034,1991994
27-02-2015,1329.724976,1337.875,1308.150024,1331.175049,1102.478027,2877376
28-02-2015,null,null,null,null,null,null
02-03-2015,1339.849976,1354.474976,1326.275024,1334.699951,1105.397705,2176038
03-03-2015,1341,1395,1338.074951,1388,1149.540771,3424308
04-03-2015,1394,1406.050049,1357.824951,1373,1137.117676,3862994
05-03-2015,1375,1385.349976,1340.525024,1348.224976,1116.599487,2173514
09-03-2015,1320,1339.900024,1305,1323.400024,1096.039307,2883174
10-03-2015,1324.449951,1339.125,1297.625,1321.349976,1094.341309,3037052
11-03-2015,1321,1329.974976,1298.900024,1303.275024,1079.37146,2240200
12-03-2015,1311.949951,1312.449951,1295.050049,1309.525024,1084.547485,1827636
13-03-2015,1319,1319.974976,1287.5,1291.175049,1069.35022,1586838
16-03-2015,1292.599976,1305,1276,1281.150024,1061.047485,1556296
