Date,Open,High,Low,Close,Adj Close,Volume
2007-04-05,124.222504,125.212509,121.533752,124.335007,105.971466,3919648
2007-04-09,123.750008,127.575005,119.700005,126.180008,107.543991,2547102
2007-04-10,127.125008,127.125008,122.850006,123.232506,105.031792,2992204
2007-04-11,127.125008,127.125008,121.972504,123.131256,104.945518,4060782
2007-04-12,122.625008,122.625008,120.667503,121.601257,103.641479,3261479
2007-04-13,122.850006,128.362503,120.825005,127.721252,108.857597,9589332
2007-04-16,128.250000,132.525009,128.250000,131.782501,112.319046,4938510
2007-04-17,133.875000,133.875000,128.250000,129.138763,110.065720,4418782
2007-04-18,128.475006,132.412506,128.475006,131.816254,112.347786,3430955
2007-04-19,129.600006,131.512512,128.700012,129.566254,110.430099,4399817
2007-04-20,131.625000,136.080002,126.258759,128.531250,109.547974,14643879
2007-04-23,132.750000,132.750000,127.395004,127.665009,108.809677,4824533
2007-04-24,127.113754,128.475006,124.087509,124.785004,106.355003,8109937
2007-04-25,122.647507,125.696259,122.625008,125.055008,106.585144,5654106
2007-04-26,126.022507,128.025009,124.875008,126.821259,108.090530,9804399
2007-04-27,128.025009,128.261261,125.178757,127.293755,108.493233,4136626
2007-04-30,127.125008,129.307510,126.225006,128.610001,109.615097,2654462
2007-05-03,129.825012,131.613754,127.462509,128.452499,109.480843,5526470
2007-05-04,142.875000,142.875000,126.225006,127.642509,108.790482,3890715
2007-05-07,128.700012,128.700012,124.031258,124.335007,105.971466,2729968
2007-05-08,123.750008,125.561256,122.737503,123.153755,104.964691,4939257
2007-05-09,122.625008,124.335007,121.747505,123.851257,105.559189,4591350
2007-05-10,124.807503,127.248756,121.781258,124.368759,106.000259,8617332
2007-05-11,127.080009,127.080009,120.768753,122.805008,104.667435,6345795
2007-05-14,124.031258,125.730003,122.051254,122.411255,104.331848,3596568
2007-05-15,122.400009,123.615005,119.497505,120.386253,102.605927,6923057
2007-05-16,120.600006,122.332504,119.250008,121.623756,103.660675,5719101
2007-05-17,123.300003,123.435005,121.612503,123.041260,104.868835,2854133
2007-05-18,122.625008,124.121254,121.950005,122.242508,104.188042,3606475
2007-05-21,122.400009,123.300003,119.812508,120.172508,102.423752,6247706
2007-05-22,120.375008,121.950005,119.025002,119.745003,102.059395,4609990
2007-05-23,119.745003,120.982506,119.385002,120.363754,102.586761,2515030
2007-05-24,119.497505,121.477509,118.822502,119.790009,102.097755,2811702
2007-05-25,119.250008,122.602509,117.922508,122.265007,104.207191,4877715
2007-05-28,124.875008,126.832504,120.600006,121.432503,103.497650,4532915
2007-05-29,121.950005,122.107506,120.442505,121.635010,103.670258,4554244
2007-05-30,121.455009,121.455009,119.812508,120.723755,102.893585,4039879
2007-05-31,122.152504,123.300003,120.397507,122.332504,104.264732,8384848
2007-06-01,123.390007,123.390007,121.781258,122.456253,104.370216,3745848
2007-06-04,123.727509,123.727509,119.700005,120.127502,102.385414,1934106
2007-06-05,120.262505,121.837509,119.295006,120.431259,102.644295,3749190
2007-06-06,122.625008,122.625008,119.351257,119.756256,102.068977,5149168
2007-06-07,114.525002,123.570007,114.525002,122.715004,104.590744,6636395
2007-06-08,121.500008,124.706253,120.498756,123.210007,105.012619,7920701
2007-06-11,124.852509,125.347504,121.500008,122.130005,104.092140,2819395
2007-06-12,122.197510,122.850006,120.003754,121.207504,103.305885,1437795
2007-06-13,119.700005,121.252502,118.440002,119.351257,101.723808,5304453
2007-06-14,121.725006,141.142502,119.587502,119.790009,102.097755,1697253
2007-06-15,120.375008,121.365005,119.250008,119.362503,101.733376,2662266
2007-06-18,123.727509,123.727509,117.348755,117.686256,100.304718,1886302
2007-06-19,114.975006,118.293755,114.975006,117.348755,100.017059,2946022
2007-06-20,117.675003,118.912506,117.000008,117.641258,100.266357,4106635
2007-06-21,118.125008,119.250008,116.392502,118.080002,100.640312,1894546
2007-06-22,118.080002,118.800003,115.875008,116.392502,99.202049,3367502
2007-06-25,116.392502,116.752502,114.750008,115.998756,98.866440,3428670
2007-06-26,115.200005,116.775002,113.625008,114.468758,97.562416,2130902
2007-06-27,114.468758,115.650002,114.131256,114.727509,97.782936,3076733
2007-06-28,115.650002,116.718758,114.075005,115.830002,98.916611,6041039
2007-06-29,116.325005,117.000008,115.458755,116.651253,99.617943,3735119
2007-07-02,115.875008,117.450005,114.412506,115.357506,98.513107,2152666
2007-07-03,116.662506,116.707504,115.537506,115.908752,98.983849,1204653
2007-07-04,114.750008,116.358757,113.985008,114.468758,97.754135,3980990
2007-07-05,110.857506,115.200005,110.857506,113.546257,96.966316,2307413
2007-07-06,113.895004,117.225006,113.456253,116.910004,99.838913,7801137
2007-07-09,118.125008,119.025002,117.067505,118.136253,100.886101,5287110
2007-07-10,118.350006,119.362503,116.325005,116.842506,99.781273,4246248
2007-07-11,118.080002,118.102509,114.300003,115.008759,98.215279,4422977
2007-07-12,115.312508,115.830002,114.525002,115.098755,98.292130,2567915
2007-07-13,115.875008,116.077507,113.906258,115.323753,98.484291,5034435
2007-07-16,115.402504,115.425003,112.173752,113.051254,96.543594,4044835
2007-07-17,114.052505,114.300003,113.040009,113.703758,97.100845,2938395
2007-07-18,114.075005,114.446259,113.208755,113.928757,97.292984,2187648
2007-07-19,110.958755,114.502502,110.958755,113.658752,97.062424,6034839
2007-07-20,113.850006,115.177505,113.411255,113.670006,97.072006,6088035
2007-07-23,113.625008,115.233757,113.051254,114.525002,97.802155,2989244
2007-07-24,114.637505,114.750008,113.208755,113.737503,97.129646,2071595
2007-07-25,113.625008,113.850006,111.600006,112.241257,95.851875,6528221
2007-07-26,112.702507,119.700005,111.397507,115.650002,98.762886,8453915
2007-07-27,115.031258,115.031258,110.250008,110.857506,94.670197,5232941
2007-07-30,110.857506,111.375008,109.395004,111.048752,94.833504,2178955
2007-07-31,110.587502,112.432503,109.597504,111.903755,95.563683,2479479
2007-08-01,110.475006,110.902504,106.087502,107.223755,91.567017,6039346
