,Date,Infy_Open,Infy_High,Infy_Low,Infy_Close,Infy_Adj Close,Infy_Volume,Infy_%_Change,Infy_30-Day MA,Infy_Rolling Std,Infy_Upper Band,Infy_Lower Band,TCS_Open,TCS_High,TCS_Low,TCS_Close,TCS_Adj Close,TCS_Volume,TCS_%_Change,TCS_30-Day MA,TCS_Rolling Std,TCS_Upper Band,TCS_Lower Band,Wipro_Open,Wipro_High,Wipro_Low,Wipro_Close,Wipro_Adj Close,Wipro_Volume,Wipro_%_Change,Wipro_30-Day MA,Wipro_Rolling Std,Wipro_Upper Band,Wipro_Lower Band
4259,2021-08-12,1679.15,1696.5,1674.0,1689.6,1587.9318,5659579,0.0071830507,1600.765,45.36151,1691.488,1510.042,3326.0,3368.0,3326.0,3351.75,3148.877,1310205,0.0022576547,3249.0166,59.53965,3368.096,3129.9373,602.0,608.9,600.65,605.85,597.12384,3952508,0.007650688,572.45667,29.017448,630.4916,514.42175
4260,2021-08-13,1697.0,1722.5,1691.3,1712.2,1609.172,5612790,0.013375932,1605.825,49.02239,1703.8698,1507.7803,3360.75,3480.0,3357.5,3463.4,3253.769,4363584,0.033310927,3253.08,69.41028,3391.9006,3114.2595,606.0,620.45,606.0,615.5,606.6349,8364684,0.015928075,574.995,29.350285,633.69556,516.29443
4261,2021-08-16,1707.7,1719.95,1690.1,1704.4,1601.8413,4564109,-0.0045555,1610.3783,51.642605,1713.6636,1507.0931,3460.0,3494.35,3436.5,3472.95,3262.7412,2083489,0.0027574203,3257.9966,79.24123,3416.479,3099.5142,616.1,620.9,610.5,614.05,605.2059,3572426,-0.0023558277,577.51,29.35671,636.22345,518.7966
4262,2021-08-17,1703.9,1748.9,1686.55,1741.65,1636.8497,9510390,0.021855198,1615.8016,56.539257,1728.8801,1502.7231,3482.1,3560.8,3463.0,3553.05,3337.9932,4336019,0.023063995,3265.7317,95.30137,3456.3345,3075.129,613.75,637.05,611.2,634.9,625.7555,11822772,0.03395495,580.795,30.09663,640.9883,520.60175
4263,2021-08-18,1729.0,1755.5,1727.0,1733.45,1629.1432,6686090,-0.0047082207,1621.51,59.507854,1740.5258,1502.4943,3573.85,3595.0,3536.6,3560.55,3345.039,2631309,0.0021108624,3275.6733,109.43887,3494.551,3056.7957,635.75,639.2,624.6,629.4,620.3347,6923577,-0.008662782,584.02167,29.940027,643.90173,524.1416
4264,2021-08-20,1716.1,1745.0,1716.1,1732.95,1628.6732,6206972,-0.00028844213,1627.1217,61.847908,1750.8175,1503.4259,3506.0,3575.0,3500.0,3559.5,3344.0525,2836148,-0.00029491202,3285.1584,121.08522,3527.3289,3042.9878,622.5,631.95,618.0,620.05,611.1194,6170693,-0.014855474,586.95166,28.974173,644.9,529.0033
4265,2021-08-23,1735.75,1753.15,1732.0,1738.75,1634.1244,6189051,0.0033469223,1633.055,63.769333,1760.5936,1505.5164,3580.0,3673.0,3561.9,3637.4,3417.237,3744176,0.02188507,3297.7883,136.93256,3571.6533,3023.9233,626.0,636.95,623.5,628.85,619.7926,7036375,0.014192385,590.2133,27.947798,646.10895,534.31775
4266,2021-08-24,1750.0,1757.0,1712.7,1720.85,1617.3014,7602939,-0.010294766,1638.32,64.29564,1766.9113,1509.7288,3657.0,3667.35,3594.4,3613.2,3394.5022,2511141,-0.0066530905,3311.29,147.36137,3606.0127,3016.5674,636.0,636.0,624.1,633.55,624.425,4483718,0.0074739796,593.805,26.25688,646.3188,541.29126
4267,2021-08-25,1718.0,1746.9,1718.0,1735.55,1631.1168,6153253,0.008542333,1644.5767,64.32097,1773.2186,1515.9347,3610.0,3697.75,3607.05,3659.0,3437.53,2123263,0.012675758,3326.82,158.59772,3644.0154,3009.6245,635.0,642.8,629.55,631.65,622.55237,6407718,-0.0029989174,597.33167,23.805626,644.94293,549.7204
4268,2021-08-26,1734.0,1746.0,1720.0,1727.7,1623.7393,5302248,-0.004523118,1650.6683,63.204422,1777.0771,1524.2595,3660.0,3687.6,3647.9,3671.85,3449.6025,1902533,0.0035119152,3342.9634,168.28499,3679.5332,3006.3933,632.2,638.5,626.0,628.95,619.89124,4208351,-0.004274538,600.8017,20.18827,641.1782,560.4251
4269,2021-08-27,1725.0,1727.7,1705.2,1708.8,1605.9764,6698514,-0.010939343,1655.065,62.479454,1780.0239,1530.1061,3666.0,3729.5,3651.1,3720.15,3494.979,3944728,0.013154078,3359.8167,179.89786,3719.6123,3000.021,629.5,636.0,625.3,634.95,625.80475,4371554,0.0095397085,603.24335,19.720232,642.6838,563.80286
4270,2021-08-30,1703.05,1718.65,1690.4,1698.05,1595.8733,6559667,-0.0062909643,1658.9734,61.330353,1781.634,1536.3126,3715.0,3740.35,3687.6,3701.3,3477.2698,2033114,-0.0050669606,3376.4282,187.75069,3751.9297,3000.927,635.95,639.5,630.55,632.45,623.3408,4371855,-0.003937318,605.12836,19.719164,644.56665,565.69
4271,2021-08-31,1700.15,1715.0,1685.85,1706.45,1603.7678,12255438,0.004946793,1664.0067,58.680275,1781.3672,1546.6461,3709.4,3804.1,3703.45,3786.45,3557.266,3207480,0.023005404,3396.15,198.76514,3793.6802,2998.6196,634.6,642.55,628.9,640.95,631.7184,7795908,0.013439798,607.235,20.066265,647.36755,567.1025
4272,2021-09-01,1709.5,1709.5,1673.15,1677.75,1576.7949,7801974,-0.016818514,1668.5416,53.97024,1776.4822,1560.6012,3796.0,3816.7,3707.0,3714.95,3490.0938,2643336,-0.018883122,3413.8284,202.84393,3819.516,3008.1404,643.8,647.35,635.25,642.05,632.80255,4725222,0.001716165,609.51,20.01371,649.5374,569.4826
4273,2021-09-02,1677.35,1694.3,1662.65,1689.1,1587.4618,6830050,0.006764998,1673.1766,49.203556,1771.5837,1574.7695,3734.0,3859.15,3722.0,3836.75,3604.5215,3403717,0.03278646,3434.8599,212.98706,3860.8342,3008.8857,645.0,657.0,640.75,651.45,642.0672,4538778,0.014640642,612.2883,19.851612,651.9916,572.58514
4274,2021-09-03,1696.05,1705.95,1684.4,1700.65,1598.3169,5339139,0.0068379897,1676.8583,46.85698,1770.5723,1583.1444,3825.0,3856.9,3804.55,3842.05,3609.501,1746812,0.0013813903,3455.7166,221.32426,3898.3652,3013.068,653.0,656.7,649.5,655.1,645.66455,3774970,0.0056028306,614.6517,20.598652,655.849,573.45435
4275,2021-09-06,1705.15,1732.0,1699.35,1730.4,1626.2766,4876026,0.017493311,1681.5233,44.882664,1771.2887,1591.758,3849.7,3877.6,3814.0,3852.0,3618.8484,1723693,0.0025897506,3477.0217,227.8072,3932.636,3021.4072,656.65,688.7,656.65,686.45,676.56305,12338416,0.047855347,617.56165,24.18712,665.9359,569.18744
4276,2021-09-07,1730.0,1734.9,1704.0,1706.65,1603.9559,3520341,-0.01372515,1684.9484,42.61828,1770.1849,1599.7118,3864.0,3869.95,3808.25,3815.9,3584.9333,1585039,-0.009371781,3497.6333,229.61562,3956.8645,3038.402,690.0,690.0,672.75,674.25,664.5387,6406109,-0.017772615,620.355,25.737354,671.8297,568.8803
4277,2021-09-08,1700.85,1700.85,1682.95,1693.25,1591.3622,4584896,-0.007851653,1687.9717,39.68776,1767.3472,1608.5962,3810.0,3815.0,3756.0,3774.15,3545.7104,4147175,-0.010941063,3517.34,227.03195,3971.4038,3063.2761,675.4,675.4,660.0,662.2,652.6623,6716231,-0.01787169,622.7133,26.234083,675.1815,570.2452
4278,2021-09-09,1685.9,1694.9,1682.15,1691.6,1589.8113,3331674,-0.00097447156,1690.8384,36.511673,1763.8617,1617.815,3789.7,3808.7,3765.0,3791.4,3561.9163,1441148,0.0045705657,3537.1267,224.07045,3985.2676,3088.9858,660.9,664.55,654.0,662.35,652.8101,5805730,0.0002264633,625.06,26.534338,678.12866,571.99133
4279,2021-09-13,1683.0,1701.5,1675.2,1691.9,1590.0935,4662374,0.00017737527,1693.335,33.744473,1760.824,1625.8461,3767.0,3852.4,3767.0,3845.35,3612.601,1691473,0.0142296245,3558.7783,221.31686,4001.412,3116.1445,662.35,671.85,657.85,670.75,661.08923,5588789,0.012682154,627.7367,26.969234,681.6751,573.7982
4280,2021-09-14,1695.95,1695.95,1678.6,1686.15,1584.6893,4945167,-0.003398546,1695.8567,29.954689,1755.766,1635.9473,3849.95,3896.5,3825.0,3885.9,3650.6963,1991188,0.010545153,3582.7266,216.32658,4015.38,3150.0735,671.0,675.7,670.0,673.45,663.7503,3661338,0.0040253624,630.61334,27.093088,684.7995,576.4272
